item_id,headword,block,transcript,verdict,note
1,óhò,1,"25, right?",digit-present,"digit(s) [25] present, not this item's"
7,rérèyt,1,There they...,ok,
5,nóè,1,No way.,ok,
16,benıîä,1,Bonilla.,ok,
4,hóhonìt,1,hope and not,ok,
22,toś,1,toasts.,ok,
2,ohô,1,Uh-huh.,ok,
8,rékwıì,1,Queen.,ok,
11,béntsıìy,1,Benci.,ok,
17,ossıî,1,O.C.,ok,
6,noê,1,No way.,ok,
21,ŕe,1,Che!,ok,
9,récquıìś,1,Greece.,ok,
3,hohô,1,Ho Ho.,ok,
18,piquô,1,Pico.,ok,
13,béo·ò,1,Bail.,ok,
23,e,1,Eh.,ok,
15,emmáwwè,1,in my way.,ok,
14,twıítò,1,Tweetyle.,ok,
19,nobêt,1,No bet.,ok,
10,réıì,1,Larry.,ok,
24,ŕeut,1,24.,SLATE-LEAK,transcribes as its own item number (24)
12,béuksoè,1,12.,SLATE-LEAK,transcribes as its own item number (12)
20,rhiitsô,1,25.,digit-present,"digit(s) [25] present, not this item's"
25,pot,1,Block 2.,digit-present,"digit(s) [2] present, not this item's"
16,benıîä,2,Bonilla!,ok,
2,ohô,2,A hoe.,ok,
17,ossıî,2,O.C.,ok,
9,récquıìś,2,that quiese.,ok,
13,béo·ò,2,Bell.,ok,
14,twıítò,2,3 tall.,digit-present,"digit(s) [3] present, not this item's"
24,ŕeut,2,Create.,ok,
25,pot,2,poll.,ok,
5,nóè,2,No way.,ok,
22,toś,2,and see.,ok,
21,ŕe,2,I see.,ok,
18,piquô,2,Picquo.,ok,
10,réıì,2,10.,SLATE-LEAK,transcribes as its own item number (10)
20,rhiitsô,2,four.,digit-present,"digit(s) [4] present, not this item's"
7,rérèyt,2,scratch,ok,
4,hóhonìt,2,"Oh, a note.",ok,
8,rékwıì,2,Quee.,ok,
6,noê,2,No way.,ok,
3,hohô,2,Ho ho.,ok,
19,nobêt,2,19.,SLATE-LEAK,transcribes as its own item number (19)
12,béuksoè,2,B.X. S.O.A.,ok,
1,óhò,2,Uh-huh.,ok,
3,hohô,3,Bye!,ok,
10,réıì,3,No way.,ok,
5,nóè,3,Five.,SLATE-LEAK,transcribes as its own item number (5)
17,ossıî,3,O.C.,ok,
20,rhiitsô,3,20.,SLATE-LEAK,transcribes as its own item number (20)
22,toś,3,22.,SLATE-LEAK,transcribes as its own item number (22)
9,récquıìś,3,9.,SLATE-LEAK,transcribes as its own item number (9)
19,nobêt,3,No bet.,ok,
7,rérèyt,3,There it is.,ok,
11,béntsıìy,3,Ben C.,ok,
13,béo·ò,3,Bill.,ok,
12,béuksoè,3,back sore.,ok,
4,hóhonìt,3,"Oh, a nut.",ok,
21,ŕe,3,Hooray!,ok,
14,twıítò,3,Tweetyle.,ok,
1,óhò,3,Ooh-ho.,ok,
8,rékwıì,3,takui.,ok,
18,piquô,3,Pick wall.,ok,
24,ŕeut,3,Create.,ok,
16,benıîä,3,"Benin, yeah.",ok,
6,noê,3,No way.,ok,
15,emmáwwè,3,in my way.,ok,
25,pot,3,poll.,ok,
2,ohô,3,Uh-huh.,ok,
7,rérèyt,4,7.,SLATE-LEAK,transcribes as its own item number (7)
9,récquıìś,4,9.,SLATE-LEAK,transcribes as its own item number (9)
20,rhiitsô,4,Read so.,ok,
17,ossıî,4,O-C.,ok,
10,réıì,4,Lee.,ok,
2,ohô,4,Uh-huh.,ok,
15,emmáwwè,4,in my way.,ok,
16,benıîä,4,Bonilla.,ok,
18,piquô,4,Pick well.,ok,
1,óhò,4,Ho ho.,ok,
21,ŕe,4,re,ok,
12,béuksoè,4,They ex sore.,ok,
11,béntsıìy,4,Benci!,ok,
19,nobêt,4,No bet.,ok,
22,toś,4,toast.,ok,
23,e,4,A.,ok,
5,nóè,4,No way.,ok,
3,hohô,4,Hoho.,ok,
25,pot,4,Pull.,ok,
6,noê,4,No way.,ok,
24,ŕeut,4,I hate it.,ok,
8,rékwıì,4,te kui.,ok,
14,twıítò,4,Trito.,ok,
4,hóhonìt,4,whole thing up.,ok,
13,béo·ò,4,Boo.,ok,
5,nóè,5,Five.,SLATE-LEAK,transcribes as its own item number (5)
23,e,5,Eh.,ok,
22,toś,5,toast.,ok,
19,nobêt,5,No bet.,ok,
11,béntsıìy,5,Benci.,ok,
12,béuksoè,5,They exo it.,ok,
21,ŕe,5,Chee.,ok,
1,óhò,5,Oh ho.,ok,
18,piquô,5,Picquo.,ok,
16,benıîä,5,Bonilla!,ok,
15,emmáwwè,5,in my way.,ok,
2,ohô,5,Uh-huh.,ok,
10,réıì,5,Ray.,ok,
17,ossıî,5,O-C.,ok,
20,rhiitsô,5,Read so.,ok,
9,récquıìś,5,Requise.,ok,
7,rérèyt,5,Daddy,ok,
13,béo·ò,5,Beow.,ok,
4,hóhonìt,5,"Oh, and up.",ok,
14,twıítò,5,Tuito.,ok,
8,rékwıì,5,The Queen.,ok,
24,ŕeut,5,25.,digit-present,"digit(s) [25] present, not this item's"
6,noê,5,3.,digit-present,"digit(s) [3] present, not this item's"
25,pot,5,Thank you.,ok,
3,hohô,5,Thank you.,ok,
